类别：所有类别

月份,环境、社会和公司治理: (印度),企业社会责任: (印度),Impact investing: (印度),社會責任投資: (印度),可持续发展: (印度)
2021-06,8,29,<1,1,32
2021-07,7,27,<1,<1,30
2021-08,7,30,<1,<1,30
2021-09,8,29,<1,1,32
2021-10,7,25,<1,<1,31
2021-11,7,27,<1,<1,30
2021-12,7,29,<1,<1,25
2022-01,10,34,<1,<1,34
2022-02,10,41,<1,<1,49
2022-03,9,46,1,<1,45
2022-04,9,40,<1,<1,44
2022-05,10,35,<1,<1,53
2022-06,9,32,<1,<1,56
2022-07,9,31,<1,<1,39
2022-08,9,31,<1,<1,37
2022-09,9,34,<1,<1,40
2022-10,8,29,<1,<1,34
2022-11,10,38,<1,<1,37
2022-12,9,36,<1,<1,37
2023-01,11,35,<1,<1,38
2023-02,12,38,<1,<1,36
2023-03,13,41,<1,<1,36
2023-04,10,35,<1,<1,35
2023-05,10,33,<1,<1,43
2023-06,11,33,<1,<1,60
2023-07,13,34,<1,<1,39
2023-08,12,34,<1,<1,27
2023-09,12,32,<1,<1,29
2023-10,10,30,<1,<1,32
2023-11,12,32,<1,<1,32
2023-12,11,33,<1,<1,35
2024-01,12,34,<1,<1,33
2024-02,16,38,<1,<1,32
2024-03,22,39,<1,<1,29
2024-04,13,36,<1,1,29
2024-05,13,34,<1,1,37
2024-06,12,31,<1,<1,43
2024-07,13,35,<1,<1,31
2024-08,13,33,<1,<1,24
2024-09,13,37,<1,<1,29
2024-10,13,35,<1,<1,29
2024-11,14,35,<1,1,32
2024-12,13,36,<1,<1,36
2025-01,14,38,<1,<1,35
2025-02,14,39,<1,1,30
2025-03,15,38,<1,1,29
